status,suite,datacenter,cron,name,host,desk
up,capture-service,chicago_6,"{""start_sunday"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}, ""stop_fri"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""17""}}",1,e7ch609.concord.global,house
up,drop,chicago_6,No cron,4,e7ch6030,house
down,downloader,chicago_7,No cron,1,e7ch7088,house
down,sapphire,chicago_1,Cron disabled,test_01,ch1qsltr025,bgls
up,capture-service,new_york_4,No cron,5,e7ny4014,house
up,pricefeeder,new_york_1,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",basic_lime_02,ny1pslss010.concord.global,ssvcs
down,linux_script,chicago_7,No cron,33,e7ch7ftp02.concord.global,house
up,feeder,chicago_7,No cron,3,e7ch7097,house
up,mkt-subscriptions,chicago_7,"{""start"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""6"", ""hour"": ""09""}, ""stop"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""6"", ""hour"": ""06""}}",api,ch7pslwb056.concord.global,house
up,sapphire,new_york_4,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""18""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",equities_03,ny4psltr033.concord.global,equities
up,sapphire,new_york_4,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""58"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",vmm_17,ny4psltr031.concord.global,volatility
up,hydra,chicago_6,No cron,1,e7ch6053,us-treasuries
down,risk-service,chicago_6,No cron,1,e7ch6030,house
up,hydra,tokyo_2,No cron,1,tk2pswtr011.concord.global,metals
down,linux_script,chicago_7,"{""socgen_ice_audit_upload"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0-5"", ""hour"": ""20""}}",44,e7ch7ftp02.concord.global,house
up,feeder,chicago_7,No cron,1,e7ch7097,house
up,sapphire,chicago_6,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",bgls_lino_01,ch6psltr073.concord.global,bgls
up,hydra,chicago_6,No cron,2,e7ch6054,crude
up,sapphire,chicago_5,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""05"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""17""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""1-4"", ""hour"": ""18""}}",gomm_01,ch5psltr024.concord.global,cpcv
up,pricefeeder,chicago_0,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",enriched_xcbf_01,ch0pslss010.concord.global,ssvcs
down,linux_script,chicago_7,"{""oc_socgen_fix_logs"": {""daymonth"": ""*"", ""minute"": ""55"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}}",43,e7ch7ftp02.concord.global,house
up,feeder,tokyo_2,No cron,1,tk2pswtr012.concord.global,house
up,order-router,chicago_7,No cron,2,e7ch70102,nat-gas
up,pricefeeder,chicago_0,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",enriched_xose_01,ch0pslss010.concord.global,ssvcs
up,sapphire,chicago_6,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""17""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""06""}}",equities_09,ch6psltr076.concord.global,equities
down,tsdb,chicago_7,No cron,1,tsb.concord.global,house
down,no_apps,chicago_7,No cron,1,netpop.concord.global,house
